Ubar,Mubar,Iters_gpu
24.1,-1.0,20000
24.200000000000003,-1.0,20000
24.3,-1.0,20000
24.400000000000002,-1.0,20000
24.5,-1.0,20000
24.6,-1.0,20000
24.700000000000003,-1.0,20000
24.8,-1.0,20000
24.900000000000002,-1.0,20000
24.900000000000002,53.5,20000
25.0,-1.0,20000
