Ubar,Mu_true,Mu_pred,Abs_Diff
13.0,17.666666666666668,21.45,3.7833333333333314
13.3,18.05,21.95,3.8999999999999986
13.4,18.200000000000003,22.110000000000003,3.91
13.5,18.333333333333332,22.25,3.916666666666668
13.8,10.430000000000001,22.73,12.299999999999999
13.9,10.510000000000002,26.13571428571429,15.625714285714288
14.0,17.42142857142857,26.307142857142857,8.885714285714286
14.3,17.807142857142857,26.907142857142862,9.100000000000005
14.4,17.935714285714287,27.078571428571426,9.142857142857139
14.5,18.064285714285717,27.25,9.185714285714283
14.8,18.45,27.807142857142857,9.357142857142858
14.9,18.57857142857143,27.99285714285715,9.414285714285722
15.0,18.707142857142856,28.192857142857147,9.485714285714291
15.3,19.092857142857145,28.73571428571429,9.642857142857146
15.4,19.22142857142857,28.92142857142857,9.7
15.5,19.349999999999998,29.092857142857138,9.74285714285714
15.8,19.735714285714288,29.650000000000002,9.914285714285715
15.9,19.864285714285717,29.80714285714286,9.942857142857143
16.0,19.992857142857144,29.992857142857144,10.0
16.1,20.121428571428574,30.192857142857147,10.071428571428573
16.2,20.25,30.378571428571433,10.128571428571433
16.3,20.37857142857143,30.550000000000004,10.171428571428574
16.400000000000002,20.50714285714286,24.166666666666668,3.659523809523808
16.5,20.635714285714283,24.316666666666674,3.680952380952391
16.6,20.764285714285716,24.46666666666667,3.7023809523809526
16.7,20.892857142857142,24.616666666666664,3.7238095238095212
16.8,21.021428571428572,24.78333333333333,3.761904761904759
16.900000000000002,21.150000000000002,24.933333333333337,3.783333333333335
17.0,21.27857142857143,25.083333333333332,3.8047619047619037
17.1,21.407142857142862,25.233333333333334,3.8261904761904724
17.2,21.535714285714285,25.366666666666664,3.830952380952379
17.3,21.664285714285715,25.5,3.8357142857142854
17.400000000000002,21.792857142857144,25.650000000000006,3.857142857142861
17.5,21.921428571428574,25.816666666666666,3.895238095238092
17.6,22.050000000000004,25.96666666666667,3.9166666666666643
17.7,22.178571428571427,26.116666666666664,3.9380952380952365
17.8,22.307142857142857,26.25,3.942857142857143
17.900000000000002,22.435714285714287,26.400000000000006,3.964285714285719
18.0,22.564285714285713,26.55,3.9857142857142875
18.1,22.692857142857143,26.71666666666667,4.0238095238095255
18.2,22.821428571428573,26.866666666666664,4.045238095238091
18.3,22.95,27.01666666666667,4.06666666666667
18.5,23.20714285714286,27.3,4.092857142857142
18.6,23.33571428571429,27.45,4.11428571428571
18.7,23.464285714285715,27.61666666666667,4.152380952380955
18.8,23.592857142857145,27.78333333333333,4.190476190476186
19.0,23.85,28.066666666666666,4.216666666666665
19.1,23.97857142857143,28.21666666666667,4.238095238095237
19.200000000000003,24.107142857142858,28.36666666666667,4.259523809523813
19.3,24.235714285714288,28.51666666666667,4.280952380952382
19.5,24.49285714285714,28.8,4.3071428571428605
19.6,24.621428571428574,28.96666666666667,4.345238095238095
19.700000000000003,24.75,29.100000000000005,4.350000000000005
19.8,24.87857142857143,29.25,4.37142857142857
20.0,25.135714285714283,29.55,4.414285714285718
20.1,25.264285714285716,29.7,4.435714285714283
20.200000000000003,25.392857142857142,29.850000000000005,4.457142857142863
20.3,25.521428571428572,29.983333333333338,4.461904761904766
20.5,25.77857142857143,30.3,4.521428571428572
20.6,25.907142857142855,30.45,4.5428571428571445
20.700000000000003,26.035714285714285,30.600000000000005,4.56428571428572
20.8,26.164285714285715,30.750000000000004,4.585714285714289
21.0,26.421428571428574,31.03333333333333,4.611904761904757
21.1,26.55,31.2,4.649999999999999
21.200000000000003,26.678571428571427,31.350000000000005,4.671428571428578
21.3,26.807142857142853,31.5,4.692857142857147
21.5,27.064285714285717,31.8,4.735714285714284
21.6,27.19285714285714,31.950000000000006,4.757142857142867
21.700000000000003,21.833333333333332,32.1,10.26666666666667
21.8,21.933333333333337,32.25,10.316666666666663
22.0,22.133333333333336,32.56666666666667,10.433333333333334
22.1,22.23333333333333,32.71666666666667,10.483333333333338
22.200000000000003,22.333333333333332,32.86666666666667,10.533333333333335
22.3,22.433333333333337,33.0,10.566666666666663
22.5,22.633333333333336,33.300000000000004,10.666666666666668
22.6,22.73333333333333,33.449999999999996,10.716666666666665
22.700000000000003,22.833333333333332,33.6,10.76666666666667
22.8,22.933333333333337,33.73333333333334,10.800000000000004
23.0,23.11666666666667,34.03333333333334,10.916666666666668
23.1,23.21666666666667,34.18333333333333,10.966666666666661
23.200000000000003,23.316666666666666,34.333333333333336,11.01666666666667
23.3,23.416666666666668,34.48333333333334,11.066666666666674
23.5,23.600000000000005,34.76666666666667,11.166666666666668
23.6,23.71666666666667,34.9,11.18333333333333
23.700000000000003,23.816666666666666,35.06666666666667,11.250000000000004
23.8,23.916666666666668,35.21666666666667,11.3
24.0,24.116666666666664,35.51666666666667,11.40000000000001
24.1,24.21666666666667,35.666666666666664,11.449999999999996
24.200000000000003,24.316666666666666,35.81666666666667,11.500000000000004
24.3,24.416666666666668,35.96666666666667,11.55
24.5,24.616666666666664,36.26666666666667,11.65000000000001
24.6,24.71666666666667,36.416666666666664,11.699999999999996
24.700000000000003,24.816666666666666,36.56666666666667,11.750000000000004
24.8,24.916666666666668,36.71666666666667,11.8
25.0,25.100000000000005,30.290000000000003,5.189999999999998
