tx,U,mu,rho0,rho1,rho2,rho3,phi0_sq,phi1_sq,phi2_sq,phi3_sq,E0,iters
1.0,25.0,28.2,1.7482,1.7482,1.7482,1.7482,0.8549,0.8549,0.8549,0.8549,-132.611547,9
1.0,25.0,28.4,1.7579,1.7579,1.7579,1.7579,0.8531,0.8531,0.8531,0.8531,-134.013992,9
1.0,25.0,28.6,1.7674,1.7674,1.7674,1.7674,0.851,0.851,0.851,0.851,-135.42413,9
1.0,25.0,28.8,1.7768,1.7768,1.7768,1.7768,0.8487,0.8487,0.8487,0.8487,-136.841832,10
1.0,25.0,29.0,1.786,1.786,1.786,1.786,0.8461,0.8461,0.8461,0.8461,-138.266967,10
1.0,25.0,29.2,1.7951,1.7951,1.7951,1.7951,0.8433,0.8433,0.8433,0.8433,-139.699403,10
1.0,25.0,29.4,1.8039,1.8039,1.8039,1.8039,0.8404,0.8404,0.8404,0.8404,-141.139005,10
1.0,25.0,29.6,1.8126,1.8126,1.8126,1.8126,0.8372,0.8372,0.8372,0.8372,-142.585638,10
1.0,25.0,29.8,1.8212,1.8212,1.8212,1.8212,0.8339,0.8339,0.8339,0.8339,-144.039166,10
1.0,25.0,30.0,1.8295,1.8295,1.8295,1.8295,0.8305,0.8305,0.8305,0.8305,-145.499452,11
1.0,25.0,30.2,1.8377,1.8377,1.8377,1.8377,0.827,0.827,0.827,0.827,-146.96636,11
1.0,25.0,30.4,1.8457,1.8457,1.8457,1.8457,0.8234,0.8234,0.8234,0.8234,-148.439751,11
1.0,25.0,30.6,1.8536,1.8536,1.8536,1.8536,0.8197,0.8197,0.8197,0.8197,-149.919488,11
1.0,25.0,30.8,1.8613,1.8613,1.8613,1.8613,0.816,0.816,0.816,0.816,-151.405434,11
1.0,25.0,31.0,1.8688,1.8688,1.8688,1.8688,0.8123,0.8123,0.8123,0.8123,-152.897453,12
1.0,25.0,31.2,1.8761,1.8761,1.8761,1.8761,0.8086,0.8086,0.8086,0.8086,-154.395411,12
1.0,25.0,31.4,1.8833,1.8833,1.8833,1.8833,0.8049,0.8049,0.8049,0.8049,-155.899175,12
1.0,25.0,31.6,1.8903,1.8903,1.8903,1.8903,0.8013,0.8013,0.8013,0.8013,-157.408612,12
1.0,25.0,31.8,1.8971,1.8971,1.8971,1.8971,0.7978,0.7978,0.7978,0.7978,-158.923595,12
1.0,25.0,32.0,1.9038,1.9038,1.9038,1.9038,0.7945,0.7945,0.7945,0.7945,-160.443997,13
1.0,25.0,32.2,1.9104,1.9104,1.9104,1.9104,0.7913,0.7913,0.7913,0.7913,-161.969697,13
1.0,25.0,32.4,1.9168,1.9168,1.9168,1.9168,0.7883,0.7883,0.7883,0.7883,-163.500574,13
1.0,25.0,32.6,1.923,1.923,1.923,1.923,0.7855,0.7855,0.7855,0.7855,-165.036516,13
1.0,25.0,32.8,1.9292,1.9292,1.9292,1.9292,0.7829,0.7829,0.7829,0.7829,-166.57741,14
1.0,25.0,33.0,1.9352,1.9352,1.9352,1.9352,0.7807,0.7807,0.7807,0.7807,-168.123153,14
1.0,25.0,33.2,1.941,1.941,1.941,1.941,0.7787,0.7787,0.7787,0.7787,-169.673645,14
1.0,25.0,33.4,1.9468,1.9468,1.9468,1.9468,0.777,0.777,0.777,0.777,-171.228792,14
1.0,25.0,33.6,1.9525,1.9525,1.9525,1.9525,0.7757,0.7757,0.7757,0.7757,-172.788508,14
1.0,25.0,33.8,1.958,1.958,1.958,1.958,0.7748,0.7748,0.7748,0.7748,-174.352712,14
1.0,25.0,34.0,1.9635,1.9635,1.9635,1.9635,0.7742,0.7742,0.7742,0.7742,-175.92133,15
1.0,25.0,34.2,1.9689,1.9689,1.9689,1.9689,0.7741,0.7741,0.7741,0.7741,-177.494297,15
1.0,25.0,34.4,1.9742,1.9742,1.9742,1.9742,0.7744,0.7744,0.7744,0.7744,-179.071553,15
1.0,25.0,34.6,1.9795,1.9795,1.9795,1.9795,0.7752,0.7752,0.7752,0.7752,-180.65305,15
1.0,25.0,34.8,1.9847,1.9847,1.9847,1.9847,0.7764,0.7764,0.7764,0.7764,-182.238744,15
1.0,25.0,35.0,1.9899,1.9899,1.9899,1.9899,0.7781,0.7781,0.7781,0.7781,-183.828602,15
1.0,25.0,35.2,1.9951,1.9951,1.9951,1.9951,0.7803,0.7803,0.7803,0.7803,-185.422598,15
1.0,25.0,35.4,2.0002,2.0002,2.0002,2.0002,0.783,0.783,0.783,0.783,-187.020715,15
1.0,25.0,35.6,2.0054,2.0054,2.0054,2.0054,0.7862,0.7862,0.7862,0.7862,-188.622944,15
1.0,25.0,35.8,2.0105,2.0105,2.0105,2.0105,0.7899,0.7899,0.7899,0.7899,-190.229286,15
1.0,25.0,36.0,2.0157,2.0157,2.0157,2.0157,0.7941,0.7941,0.7941,0.7941,-191.839748,15
1.0,25.0,36.2,2.0208,2.0208,2.0208,2.0208,0.7989,0.7989,0.7989,0.7989,-193.454348,15
1.0,25.0,36.4,2.0261,2.0261,2.0261,2.0261,0.8041,0.8041,0.8041,0.8041,-195.073109,15
1.0,25.0,36.6,2.0313,2.0313,2.0313,2.0313,0.8099,0.8099,0.8099,0.8099,-196.696062,15
1.0,25.0,36.8,2.0366,2.0366,2.0366,2.0366,0.8161,0.8161,0.8161,0.8161,-198.323249,15
1.0,25.0,37.0,2.042,2.042,2.042,2.042,0.8228,0.8228,0.8228,0.8228,-199.954715,15
1.0,25.0,37.2,2.0475,2.0475,2.0475,2.0475,0.83,0.83,0.83,0.83,-201.590512,15
1.0,25.0,37.4,2.053,2.053,2.053,2.053,0.8376,0.8376,0.8376,0.8376,-203.230702,15
1.0,25.0,37.6,2.0586,2.0586,2.0586,2.0586,0.8457,0.8457,0.8457,0.8457,-204.875348,15
1.0,25.0,37.8,2.0643,2.0643,2.0643,2.0643,0.8542,0.8542,0.8542,0.8542,-206.524521,15
1.0,25.0,38.0,2.0701,2.0701,2.0701,2.0701,0.8631,0.8631,0.8631,0.8631,-208.178297,14
1.0,25.0,38.2,2.076,2.076,2.076,2.076,0.8723,0.8723,0.8723,0.8723,-209.836756,14
1.0,25.0,38.4,2.082,2.082,2.082,2.082,0.882,0.882,0.882,0.882,-211.49998,14
1.0,25.0,38.6,2.0882,2.0882,2.0882,2.0882,0.892,0.892,0.892,0.892,-213.168058,14
1.0,25.0,38.8,2.0944,2.0944,2.0944,2.0944,0.9023,0.9023,0.9023,0.9023,-214.841078,14
1.0,25.0,39.0,2.1008,2.1008,2.1008,2.1008,0.9128,0.9128,0.9128,0.9128,-216.519133,14
1.0,25.0,39.2,2.1072,2.1072,2.1072,2.1072,0.9237,0.9237,0.9237,0.9237,-218.202318,13
1.0,25.0,39.4,2.1138,2.1138,2.1138,2.1138,0.9348,0.9348,0.9348,0.9348,-219.890727,13
1.0,25.0,39.6,2.1205,2.1205,2.1205,2.1205,0.9461,0.9461,0.9461,0.9461,-221.584458,13
1.0,25.0,39.8,2.1274,2.1274,2.1274,2.1274,0.9576,0.9576,0.9576,0.9576,-223.283606,13
1.0,25.0,40.0,2.1343,2.1343,2.1343,2.1343,0.9693,0.9693,0.9693,0.9693,-224.98827,13
