t,Ubar,Mubar,Density,Phi2,Energy,Iters
1.000000,5.830000,-2.980000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.970000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.960000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.950000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.940000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.930000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.920000,0.000000,0.000000,0.000000,11
1.000000,5.830000,-2.910000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.900000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.890000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.880000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.870000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.860000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.850000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.840000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.830000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.820000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.810000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.800000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.790000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.780000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.770000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.760000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.750000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.740000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.730000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.720000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.710000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.700000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.690000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.680000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.670000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.660000,0.000000,0.000000,0.000000,12
1.000000,5.830000,-2.650000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.640000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.630000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.620000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.610000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.600000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.590000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.580000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.570000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.560000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.550000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.540000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.530000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.520000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.510000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.500000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.490000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.480000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.470000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.460000,0.000000,0.000000,0.000000,13
1.000000,5.830000,-2.450000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.440000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.430000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.420000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.410000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.400000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.390000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.380000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.370000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.360000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.350000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.340000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.330000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.320000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.310000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.300000,0.000000,0.000000,0.000000,14
1.000000,5.830000,-2.290000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.280000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.270000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.260000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.250000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.240000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.230000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.220000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.210000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.200000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.190000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.180000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.170000,0.000000,0.000000,0.000000,15
1.000000,5.830000,-2.160000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.150000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.140000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.130000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.120000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.110000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.100000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.090000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.080000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.070000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.060000,0.000000,0.000000,0.000000,16
1.000000,5.830000,-2.050000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-2.040000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-2.030000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-2.020000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-2.010000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-2.000000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-1.990000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-1.980000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-1.970000,0.000000,0.000000,0.000000,17
1.000000,5.830000,-1.960000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.950000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.940000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.930000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.920000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.910000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.900000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.890000,0.000000,0.000000,0.000000,18
1.000000,5.830000,-1.880000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.870000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.860000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.850000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.840000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.830000,0.000000,0.000000,0.000000,19
1.000000,5.830000,-1.820000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.810000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.800000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.790000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.780000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.770000,0.000000,0.000000,0.000000,20
1.000000,5.830000,-1.760000,0.000000,0.000000,0.000000,21
1.000000,5.830000,-1.750000,0.000000,0.000000,0.000000,21
1.000000,5.830000,-1.740000,0.000000,0.000000,0.000000,21
1.000000,5.830000,-1.730000,0.000000,0.000000,0.000000,21
1.000000,5.830000,-1.720000,0.000000,0.000000,0.000000,21
1.000000,5.830000,-1.710000,0.000000,0.000000,0.000000,22
1.000000,5.830000,-1.700000,0.000000,0.000000,0.000000,22
1.000000,5.830000,-1.690000,0.000000,0.000000,0.000000,22
1.000000,5.830000,-1.680000,0.000000,0.000000,0.000000,22
1.000000,5.830000,-1.670000,0.000000,0.000000,0.000000,22
1.000000,5.830000,-1.660000,0.000000,0.000000,0.000000,23
1.000000,5.830000,-1.650000,0.000000,0.000000,0.000000,23
1.000000,5.830000,-1.640000,0.000000,0.000000,0.000000,23
1.000000,5.830000,-1.630000,0.000000,0.000000,0.000000,23
1.000000,5.830000,-1.620000,0.000000,0.000000,0.000000,24
1.000000,5.830000,-1.610000,0.000000,0.000000,0.000000,24
1.000000,5.830000,-1.600000,0.000000,0.000000,0.000000,24
1.000000,5.830000,-1.590000,0.000000,0.000000,0.000000,25
1.000000,5.830000,-1.580000,0.000000,0.000000,0.000000,25
1.000000,5.830000,-1.570000,0.000000,0.000000,0.000000,25
1.000000,5.830000,-1.560000,0.000000,0.000000,0.000000,26
1.000000,5.830000,-1.550000,0.000000,0.000000,0.000000,26
1.000000,5.830000,-1.540000,0.000000,0.000000,0.000000,26
1.000000,5.830000,-1.530000,0.000000,0.000000,0.000000,27
1.000000,5.830000,-1.520000,0.000000,0.000000,0.000000,27
1.000000,5.830000,-1.510000,0.000000,0.000000,0.000000,27
1.000000,5.830000,-1.500000,0.000000,0.000000,0.000000,28
1.000000,5.830000,-1.490000,0.000000,0.000000,0.000000,28
1.000000,5.830000,-1.480000,0.000000,0.000000,0.000000,29
1.000000,5.830000,-1.470000,0.000000,0.000000,0.000000,29
1.000000,5.830000,-1.460000,0.000000,0.000000,0.000000,30
1.000000,5.830000,-1.450000,0.000000,0.000000,0.000000,30
1.000000,5.830000,-1.440000,0.000000,0.000000,0.000000,31
1.000000,5.830000,-1.430000,0.000000,0.000000,0.000000,31
1.000000,5.830000,-1.420000,0.000000,0.000000,0.000000,32
1.000000,5.830000,-1.410000,0.000000,0.000000,0.000000,32
1.000000,5.830000,-1.400000,0.000000,0.000000,0.000000,33
1.000000,5.830000,-1.390000,0.000000,0.000000,0.000000,34
1.000000,5.830000,-1.380000,0.000000,0.000000,0.000000,34
1.000000,5.830000,-1.370000,0.000000,0.000000,0.000000,35
1.000000,5.830000,-1.360000,0.000000,0.000000,0.000000,36
1.000000,5.830000,-1.350000,0.000000,0.000000,0.000000,36
1.000000,5.830000,-1.340000,0.000000,0.000000,0.000000,37
1.000000,5.830000,-1.330000,0.000000,0.000000,0.000000,38
1.000000,5.830000,-1.320000,0.000000,0.000000,0.000000,39
1.000000,5.830000,-1.310000,0.000000,0.000000,0.000000,40
1.000000,5.830000,-1.300000,0.000000,0.000000,0.000000,41
1.000000,5.830000,-1.290000,0.000000,0.000000,0.000000,42
1.000000,5.830000,-1.280000,0.000000,0.000000,0.000000,43
1.000000,5.830000,-1.270000,0.000000,0.000000,0.000000,45
1.000000,5.830000,-1.260000,0.000000,0.000000,0.000000,46
1.000000,5.830000,-1.250000,0.000000,0.000000,0.000000,48
1.000000,5.830000,-1.240000,0.000000,0.000000,0.000000,49
1.000000,5.830000,-1.230000,0.000000,0.000000,0.000000,51
1.000000,5.830000,-1.220000,0.000000,0.000000,0.000000,53
1.000000,5.830000,-1.210000,0.000000,0.000000,0.000000,55
1.000000,5.830000,-1.200000,0.000000,0.000000,0.000000,57
1.000000,5.830000,-1.190000,0.000000,0.000000,0.000000,59
1.000000,5.830000,-1.180000,0.000000,0.000000,0.000000,62
1.000000,5.830000,-1.170000,0.000000,0.000000,0.000000,65
1.000000,5.830000,-1.160000,0.000000,0.000000,0.000000,68
1.000000,5.830000,-1.150000,0.000000,0.000000,0.000000,72
1.000000,5.830000,-1.140000,0.000000,0.000000,0.000000,76
1.000000,5.830000,-1.130000,0.000000,0.000000,0.000000,81
1.000000,5.830000,-1.120000,0.000000,0.000000,0.000000,87
1.000000,5.830000,-1.110000,0.000000,0.000000,0.000000,93
1.000000,5.830000,-1.100000,0.000000,0.000000,0.000000,101
1.000000,5.830000,-1.090000,0.000000,0.000000,0.000000,110
1.000000,5.830000,-1.080000,0.000000,0.000000,0.000000,122
1.000000,5.830000,-1.070000,0.000000,0.000000,0.000000,136
1.000000,5.830000,-1.060000,0.000000,0.000000,0.000000,155
1.000000,5.830000,-1.050000,0.000000,0.000000,0.000000,180
1.000000,5.830000,-1.040000,0.000000,0.000000,0.000000,217
1.000000,5.830000,-1.030000,0.000000,0.000000,0.000000,276
1.000000,5.830000,-1.020000,0.000000,0.000000,0.000000,384
1.000000,5.830000,-1.010000,0.000000,0.000000,0.000000,666
1.000000,5.830000,-1.000000,0.000077,0.000077,0.000000,4371
1.000000,5.830000,-0.990000,0.006712,0.006687,-0.000034,326
1.000000,5.830000,-0.980000,0.013392,0.013292,-0.000134,183
